coarse_class,fine class,number_of_tokens,vocab_size
DESC,manner,10,10
ENTY,cremat,8,8
DESC,manner,12,12
ENTY,animal,13,11
ABBR,exp,8,8
HUM,ind,10,10
HUM,gr,10,10
HUM,title,6,6
DESC,def,5,5
HUM,ind,10,9
NUM,date,6,6
DESC,reason,8,8
HUM,ind,8,7
HUM,ind,4,4
ENTY,event,13,12
LOC,state,9,9
DESC,desc,13,12
NUM,count,11,11
DESC,def,8,8
DESC,def,6,6
NUM,date,8,8
ENTY,other,9,9
HUM,ind,5,5
DESC,desc,6,6
DESC,desc,11,10
ENTY,letter,8,8
HUM,ind,8,8
LOC,other,10,9
ENTY,other,8,8
LOC,state,7,7
ABBR,exp,8,8
ENTY,other,6,6
NUM,count,11,11
HUM,gr,13,13
NUM,count,10,10
DESC,desc,5,5
NUM,date,7,7
ENTY,religion,9,9
LOC,other,14,13
ENTY,animal,12,11
DESC,manner,11,11
ENTY,other,12,12
NUM,count,9,9
NUM,count,12,12
DESC,manner,11,11
HUM,ind,10,10
ENTY,food,12,12
HUM,gr,7,7
DESC,manner,12,11
ENTY,other,11,11
LOC,country,9,9
DESC,def,4,4
HUM,ind,9,8
DESC,desc,10,10
HUM,ind,6,6
DESC,def,7,7
ENTY,color,11,11
ENTY,termeq,9,9
LOC,state,8,8
DESC,def,6,6
LOC,other,5,5
DESC,def,17,17
LOC,country,7,7
DESC,def,4,4
HUM,ind,10,10
LOC,city,13,13
DESC,def,5,5
DESC,reason,6,6
LOC,other,11,10
DESC,reason,8,8
LOC,other,11,11
HUM,ind,7,7
ENTY,other,13,13
DESC,desc,7,7
HUM,ind,12,9
DESC,manner,10,10
HUM,ind,9,9
ENTY,body,11,10
DESC,manner,14,14
LOC,country,16,14
ENTY,other,8,8
NUM,count,11,11
DESC,desc,8,8
LOC,state,10,9
ENTY,animal,7,7
NUM,count,10,10
LOC,country,7,7
ENTY,dismed,7,7
HUM,ind,7,7
NUM,date,12,12
NUM,date,6,6
DESC,reason,10,10
DESC,def,7,7
ENTY,cremat,12,12
DESC,def,7,7
DESC,def,7,7
HUM,gr,13,12
DESC,def,8,8
NUM,date,8,8
LOC,country,11,11
HUM,ind,4,4
DESC,desc,11,10
DESC,desc,9,9
ENTY,animal,10,10
HUM,ind,8,8
HUM,ind,12,11
DESC,manner,7,7
LOC,state,8,8
ENTY,animal,7,7
LOC,mount,8,8
DESC,desc,6,6
LOC,other,20,20
LOC,other,8,8
ENTY,cremat,12,12
ENTY,animal,9,8
ENTY,cremat,14,14
LOC,other,18,16
NUM,money,10,10
ENTY,termeq,9,9
DESC,def,9,9
LOC,other,18,18
ENTY,product,10,10
DESC,manner,13,12
NUM,period,17,17
DESC,manner,7,7
DESC,desc,11,11
DESC,manner,7,7
HUM,ind,11,11
HUM,gr,15,14
NUM,date,8,8
ENTY,cremat,7,7
DESC,def,5,5
ENTY,cremat,8,8
ENTY,animal,13,12
ENTY,substance,12,11
NUM,money,16,15
HUM,ind,9,9
DESC,def,5,5
DESC,def,4,4
NUM,count,9,9
LOC,other,5,5
ENTY,animal,12,11
LOC,city,15,14
ENTY,cremat,11,11
DESC,desc,10,9
NUM,count,10,10
DESC,manner,7,7
ABBR,exp,12,12
HUM,gr,4,4
HUM,ind,8,8
HUM,ind,8,8
HUM,ind,11,11
NUM,count,11,11
HUM,ind,4,4
ENTY,body,10,10
HUM,ind,8,8
LOC,country,10,10
ENTY,cremat,13,12
ENTY,cremat,19,18
DESC,def,7,7
ENTY,event,9,9
NUM,date,8,8
ENTY,body,10,9
DESC,def,5,5
LOC,other,7,7
HUM,gr,15,15
HUM,ind,7,7
LOC,other,14,14
NUM,date,9,9
NUM,count,14,13
LOC,other,6,6
NUM,date,11,11
HUM,ind,15,13
HUM,ind,6,6
ENTY,cremat,10,10
HUM,gr,11,11
DESC,desc,7,7
DESC,reason,13,13
NUM,count,10,10
LOC,city,13,12
LOC,other,15,15
ENTY,sport,14,14
HUM,ind,12,10
HUM,title,8,8
DESC,reason,6,6
DESC,def,9,8
DESC,reason,4,4
NUM,date,11,10
DESC,def,5,5
LOC,country,8,8
ENTY,dismed,11,11
LOC,other,6,6
HUM,gr,15,15
LOC,city,7,7
ENTY,body,9,8
HUM,ind,6,6
HUM,ind,10,10
NUM,date,9,9
LOC,country,9,9
DESC,manner,9,9
HUM,ind,4,4
DESC,def,8,8
DESC,manner,6,6
NUM,date,13,13
HUM,ind,22,22
HUM,ind,8,8
NUM,date,7,7
ENTY,termeq,11,11
DESC,reason,7,7
HUM,gr,8,8
ENTY,event,15,14
ENTY,other,10,9
LOC,city,13,13
DESC,manner,11,11
DESC,reason,7,7
NUM,count,8,8
DESC,def,6,6
NUM,count,9,9
ENTY,plant,12,11
HUM,gr,12,12
DESC,desc,9,8
ABBR,exp,6,6
ENTY,techmeth,10,10
DESC,desc,13,13
DESC,def,8,8
ENTY,other,8,8
NUM,volsize,9,8
DESC,manner,11,11
NUM,date,5,5
NUM,money,10,10
LOC,country,14,13
DESC,def,6,6
HUM,ind,15,15
DESC,reason,7,7
HUM,ind,18,14
NUM,count,12,12
LOC,mount,12,10
LOC,other,16,15
ENTY,techmeth,8,8
HUM,ind,14,13
ENTY,dismed,9,9
ENTY,food,13,12
NUM,count,13,13
DESC,def,8,8
LOC,other,6,6
NUM,count,26,23
HUM,ind,8,7
DESC,def,4,4
DESC,desc,12,12
ENTY,animal,13,11
NUM,date,12,11
HUM,ind,13,12
DESC,desc,9,8
HUM,gr,15,10
NUM,date,8,8
